Lead_ID,Acquisition_Channel,Current_Stage,Annual_Contract_Value_USD,Creation_Date,Days_to_Close,Close_Date
10073,Unknown,Closed Lost,24211.76,2025-04-16,84.0,2025-07-09
10135,Unknown,Closed Lost,25572.75,2025-12-10,101.0,2026-03-21
10213,Unknown,Closed Lost,30244.41,2025-06-10,69.0,2025-08-18
10307,Unknown,Closed Lost,29871.65,2025-02-06,117.0,2025-06-03
10367,Unknown,Closed Lost,22699.41,2025-12-17,85.0,2026-03-12
10451,Unknown,Closed Lost,24398.08,2025-07-29,95.0,2025-11-01
10467,Unknown,Closed Lost,22460.7,2025-02-15,86.0,2025-05-12
10470,Unknown,Closed Lost,23469.52,2025-08-10,132.0,2025-12-20
10564,Unknown,Closed Lost,24492.63,2025-09-30,116.0,2026-01-24
10682,Unknown,Closed Lost,27628.52,2025-12-22,117.0,2026-04-18
10717,Unknown,Closed Lost,25959.9,2025-03-18,115.0,2025-07-11
10799,Unknown,Closed Lost,28876.18,2025-06-07,153.0,2025-11-07
10857,Unknown,Closed Lost,28558.44,2025-10-18,141.0,2026-03-08
10884,Unknown,Closed Lost,17339.35,2025-08-13,115.0,2025-12-06
11259,Unknown,Closed Lost,26613.3,2025-09-02,113.0,2025-12-24
11311,Unknown,Closed Lost,31606.04,2025-09-02,32.0,2025-10-04
11341,Unknown,Closed Lost,25554.91,2025-08-16,87.0,2025-11-11
11400,Unknown,Closed Lost,23357.78,2025-12-26,165.0,2026-06-09
11459,Unknown,Closed Lost,28249.0,2025-11-12,107.0,2026-02-27
11568,Unknown,Closed Lost,23242.62,2025-11-28,102.0,2026-03-10
11616,Unknown,Closed Lost,28818.14,2025-04-27,39.0,2025-06-05
11656,Unknown,Closed Lost,20733.31,2025-04-03,83.0,2025-06-25
11723,Unknown,Closed Lost,20480.42,2025-09-17,33.0,2025-10-20
11731,Unknown,Closed Lost,24495.1,2025-12-13,91.0,2026-03-14
11875,Unknown,Closed Lost,22570.83,2025-01-19,118.0,2025-05-17
11882,Unknown,Closed Lost,31589.94,2025-05-22,74.0,2025-08-04
11977,Unknown,Closed Lost,29386.76,2025-04-20,109.0,2025-08-07
12018,Unknown,Closed Lost,24461.46,2025-05-12,121.0,2025-09-10
12053,Unknown,Closed Lost,27053.35,2025-08-11,111.0,2025-11-30
12208,Unknown,Closed Lost,21096.67,2025-01-31,152.0,2025-07-02
12323,Unknown,Closed Lost,25428.97,2025-04-19,121.0,2025-08-18
12337,Unknown,Closed Lost,29816.86,2025-11-25,56.0,2026-01-20
12550,Unknown,Closed Lost,29104.28,2025-01-09,90.0,2025-04-09
12564,Unknown,Closed Lost,23743.11,2025-04-21,88.0,2025-07-18
12576,Unknown,Closed Lost,29309.1,2025-02-11,49.0,2025-04-01
12595,Unknown,Closed Lost,28534.76,2025-01-30,147.0,2025-06-26
12829,Unknown,Closed Lost,20401.95,2025-10-31,144.0,2026-03-24
12855,Unknown,Closed Lost,21882.34,2025-06-02,108.0,2025-09-18
12894,Unknown,Closed Lost,27533.37,2025-12-22,53.0,2026-02-13
12911,Unknown,Closed Lost,23672.23,2025-04-03,145.0,2025-08-26
12914,Unknown,Closed Lost,23342.29,2025-01-29,107.0,2025-05-16
12961,Unknown,Closed Lost,29479.01,2025-02-15,71.0,2025-04-27
10099,Unknown,Closed Won,27606.32,2025-03-12,77.0,2025-05-28
10175,Unknown,Closed Won,23510.4,2025-09-07,159.0,2026-02-13
10218,Unknown,Closed Won,26303.51,2025-09-12,75.0,2025-11-26
10254,Unknown,Closed Won,29907.39,2025-11-04,31.0,2025-12-05
10674,Unknown,Closed Won,25018.82,2025-09-04,34.0,2025-10-08
11130,Unknown,Closed Won,28684.09,2025-08-08,81.0,2025-10-28
12054,Unknown,Closed Won,23736.4,2025-09-16,107.0,2026-01-01
12288,Unknown,Closed Won,25165.6,2025-02-18,147.0,2025-07-15
12294,Unknown,Closed Won,26198.41,2025-04-26,141.0,2025-09-14
12669,Unknown,Closed Won,23109.57,2025-01-01,72.0,2025-03-14
12943,Unknown,Closed Won,22484.5,2025-06-14,76.0,2025-08-29
10011,Unknown,Legal Review,25004.86,2025-09-22,,
10580,Unknown,Legal Review,28701.17,2025-01-08,,
11093,Unknown,Legal Review,23209.32,2025-01-23,,
11218,Unknown,Legal Review,20515.73,2025-10-14,,
11392,Unknown,Legal Review,25631.1,2025-06-06,,
11973,Unknown,Legal Review,24251.89,2025-06-13,,
12179,Unknown,Legal Review,18670.49,2025-08-31,,
12449,Unknown,Legal Review,25943.33,2025-01-15,,
12495,Unknown,Legal Review,24827.81,2025-01-02,,
12504,Unknown,Legal Review,28859.15,2025-10-12,,
12850,Unknown,Legal Review,27001.74,2025-08-25,,
12965,Unknown,Legal Review,28094.96,2025-03-15,,
12979,Unknown,Legal Review,25998.16,2025-11-15,,
10297,Unknown,Negotiation & ROI,28864.23,2025-09-30,,
10506,Unknown,Negotiation & ROI,28607.73,2025-01-07,,
10630,Unknown,Negotiation & ROI,25342.3,2025-10-12,,
10889,Unknown,Negotiation & ROI,24038.84,2025-11-27,,
11083,Unknown,Negotiation & ROI,17694.06,2025-11-12,,
11140,Unknown,Negotiation & ROI,25624.97,2025-02-21,,
11337,Unknown,Negotiation & ROI,27601.56,2025-03-19,,
11358,Unknown,Negotiation & ROI,24879.0,2025-05-07,,
11384,Unknown,Negotiation & ROI,21906.92,2025-12-25,,
11431,Unknown,Negotiation & ROI,21246.4,2025-02-15,,
11585,Unknown,Negotiation & ROI,31974.1,2025-08-13,,
12126,Unknown,Negotiation & ROI,24121.94,2025-01-30,,
12312,Unknown,Negotiation & ROI,20433.0,2025-03-07,,
12488,Unknown,Negotiation & ROI,19782.38,2025-02-23,,
12612,Unknown,Negotiation & ROI,22270.96,2025-11-24,,
12694,Unknown,Negotiation & ROI,26619.29,2025-03-20,,
12771,Unknown,Negotiation & ROI,27260.25,2025-05-12,,
12929,Unknown,Negotiation & ROI,29116.81,2025-09-06,,
10092,Unknown,Prospecting,24957.7,2025-03-22,,
10444,Unknown,Prospecting,30404.29,2025-06-29,,
11586,Unknown,Prospecting,23413.16,2025-03-07,,
12562,Unknown,Prospecting,22065.24,2025-03-13,,
12712,Unknown,Prospecting,27364.61,2025-02-20,,
12917,Unknown,Prospecting,22008.32,2025-10-12,,
10189,Unknown,Technical Demo,29991.2,2025-01-22,,
10197,Unknown,Technical Demo,21128.32,2025-04-23,,
10204,Unknown,Technical Demo,26630.17,2025-01-16,,
10260,Unknown,Technical Demo,27049.67,2025-10-07,,
10440,Unknown,Technical Demo,21179.24,2025-10-15,,
10542,Unknown,Technical Demo,27096.76,2025-06-26,,
10653,Unknown,Technical Demo,27526.89,2025-04-16,,
10683,Unknown,Technical Demo,22871.71,2025-01-13,,
10780,Unknown,Technical Demo,27185.56,2025-03-31,,
10829,Unknown,Technical Demo,21863.41,2025-04-30,,
11137,Unknown,Technical Demo,23039.61,2025-06-10,,
11158,Unknown,Technical Demo,23947.67,2025-12-22,,
11178,Unknown,Technical Demo,22295.87,2025-04-11,,
11191,Unknown,Technical Demo,26932.37,2025-03-19,,
11407,Unknown,Technical Demo,25131.49,2025-03-22,,
11455,Unknown,Technical Demo,26250.4,2025-05-02,,
11570,Unknown,Technical Demo,20677.06,2025-03-10,,
11590,Unknown,Technical Demo,24976.93,2025-04-08,,
11788,Unknown,Technical Demo,26018.07,2025-03-20,,
11909,Unknown,Technical Demo,21702.88,2025-01-13,,
11972,Unknown,Technical Demo,20800.96,2025-07-15,,
12146,Unknown,Technical Demo,22799.55,2025-04-06,,
12303,Unknown,Technical Demo,29816.07,2025-02-27,,
12513,Unknown,Technical Demo,27096.86,2025-07-29,,
12613,Unknown,Technical Demo,23646.09,2025-09-28,,
12642,Unknown,Technical Demo,19272.41,2025-12-21,,
12953,Unknown,Technical Demo,27983.05,2025-11-26,,
12971,Unknown,Technical Demo,23028.89,2025-06-25,,
12974,Unknown,Technical Demo,24100.91,2025-03-25,,
12988,Unknown,Technical Demo,21292.89,2025-09-27,,
10003,Outbound,Closed Lost,25872.84,2025-09-14,52.0,2025-11-05
10018,Outbound,Closed Lost,25293.44,2025-09-18,172.0,2026-03-09
10021,Outbound,Closed Lost,24292.25,2025-11-17,33.0,2025-12-20
10026,Outbound,Closed Lost,28842.82,2025-05-12,113.0,2025-09-02
10031,Outbound,Closed Lost,27015.83,2025-07-21,114.0,2025-11-12
10048,Outbound,Closed Lost,15469.89,2025-07-23,48.0,2025-09-09
10049,Outbound,Closed Lost,25837.25,2025-06-02,105.0,2025-09-15
10066,Outbound,Closed Lost,19151.88,2025-08-28,116.0,2025-12-22
10087,Outbound,Closed Lost,26882.82,2025-04-16,105.0,2025-07-30
10090,Outbound,Closed Lost,24448.44,2025-11-12,154.0,2026-04-15
10093,Outbound,Closed Lost,24812.06,2025-12-27,177.0,2026-06-22
10095,Outbound,Closed Lost,25253.52,2025-07-02,134.0,2025-11-13
10104,Outbound,Closed Lost,25278.94,2025-03-12,32.0,2025-04-13
10115,Outbound,Closed Lost,18465.37,2025-09-01,62.0,2025-11-02
10120,Outbound,Closed Lost,32647.03,2025-01-08,82.0,2025-03-31
10154,Outbound,Closed Lost,23577.47,2025-11-30,59.0,2026-01-28
10160,Outbound,Closed Lost,21342.15,2025-03-18,119.0,2025-07-15
10163,Outbound,Closed Lost,21807.34,2025-01-28,98.0,2025-05-06
10170,Outbound,Closed Lost,21946.71,2025-03-17,77.0,2025-06-02
10173,Outbound,Closed Lost,26933.56,2025-07-04,166.0,2025-12-17
10188,Outbound,Closed Lost,28878.24,2025-03-19,124.0,2025-07-21
10194,Outbound,Closed Lost,23496.3,2025-10-31,56.0,2025-12-26
